user_id,cpf,e-mail,entry_date,entry_time,name,update_date
user_10,89333325563,cliente10@exemplo.com,2023-11-03,03:10:00,Cliente 10,2023-05-23
user_100,80858959841,cliente100@exemplo.com,2023-04-18,03:59:25,Cliente 100,2023-01-08
user_1000,25178732742,cliente1000@exemplo.com,2023-07-31,22:16:47,Cliente 1000,2023-05-24
user_101,46762409450,cliente101@exemplo.com,2023-04-14,09:22:00,Cliente 101,2023-02-20
user_102,25473014829,cliente102@exemplo.com,2023-10-21,02:38:00,Cliente 102,2023-02-07
user_103,71866653520,cliente103@exemplo.com,2023-04-24,20:25:01,Cliente 103,2023-05-23
user_104,41700277808,cliente104@exemplo.com,2023-05-31,08:29:54,Cliente 104,2023-08-14
user_105,86120265524,cliente105@exemplo.com,2023-01-04,07:36:00,Cliente 105,2023-08-18
user_107,14956141583,cliente107@exemplo.com,2023-12-28,10:59:46,Cliente 107,2023-07-29
user_108,97870339467,cliente108@exemplo.com,2023-10-09,08:15:00,Cliente 108,2023-06-07
user_109,73374775408,cliente109@exemplo.com,2023-02-13,20:04:34,Cliente 109,2023-09-29
user_11,53430934142,cliente11@exemplo.com,2023-03-03,09:25:10,Cliente 11,2023-03-31
user_110,33734823403,cliente110@exemplo.com,2023-01-29,04:24:00,Cliente 110,2023-10-19
user_111,59513918550,cliente111@exemplo.com,2023-10-14,18:03:00,Cliente 111,2023-08-25
user_112,93721304582,cliente112@exemplo.com,2023-02-06,05:28:31,Cliente 112,2023-05-01
user_114,82018714713,cliente114@exemplo.com,2023-02-22,14:09:56,Cliente 114,2023-08-12
user_115,93113185115,cliente115@exemplo.com,2023-10-14,08:48:00,Cliente 115,2023-09-25
user_116,22770606068,cliente116@exemplo.com,2023-12-17,05:03:00,Cliente 116,2023-02-07
user_117,36464466751,cliente117@exemplo.com,2023-11-14,15:29:49,Cliente 117,2023-01-29
user_118,96073922670,cliente118@exemplo.com,2023-09-18,10:49:48,Cliente 118,2023-04-10
user_119,67218136885,cliente119@exemplo.com,2023-09-23,10:56:00,Cliente 119,2023-11-18
user_12,98597629084,cliente12@exemplo.com,2023-04-09,05:49:00,Cliente 12,2023-05-30
user_121,37700897757,cliente121@exemplo.com,2023-08-02,21:14:29,Cliente 121,2023-07-05
user_122,55199430918,cliente122@exemplo.com,2023-11-29,08:43:27,Cliente 122,2023-04-28
user_123,95376382583,cliente123@exemplo.com,2023-02-12,21:22:00,Cliente 123,2023-11-01
user_124,74404237853,cliente124@exemplo.com,2023-09-07,08:04:00,Cliente 124,2023-07-20
user_125,80634552049,cliente125@exemplo.com,2023-02-26,23:26:07,Cliente 125,2023-08-19
user_126,78534587365,cliente126@exemplo.com,2023-10-31,10:38:00,Cliente 126,2023-10-13
user_128,10134839626,cliente128@exemplo.com,2023-02-17,12:12:00,Cliente 128,2023-06-05
user_129,91226157069,cliente129@exemplo.com,2023-06-29,15:24:00,Cliente 129,2023-07-09
user_13,88238511658,cliente13@exemplo.com,2023-05-17,11:24:10,Cliente 13,2023-04-27
user_130,56039148646,cliente130@exemplo.com,2023-07-27,11:06:00,Cliente 130,2023-09-20
user_131,45217359303,cliente131@exemplo.com,2023-10-23,18:53:07,Cliente 131,2023-11-14
user_132,91557470937,cliente132@exemplo.com,2023-08-18,06:39:18,Cliente 132,2023-09-20
user_133,87255225828,cliente133@exemplo.com,2023-02-01,05:32:00,Cliente 133,2023-01-24
user_135,84748589319,cliente135@exemplo.com,2023-03-02,17:23:00,Cliente 135,2023-08-21
user_136,73218232535,cliente136@exemplo.com,2023-06-09,22:24:00,Cliente 136,2023-12-27
user_137,27926568799,cliente137@exemplo.com,2023-10-09,11:02:00,Cliente 137,2023-07-15
user_138,79770307510,cliente138@exemplo.com,2023-12-30,02:19:00,Cliente 138,2023-04-14
user_139,18497598585,cliente139@exemplo.com,2023-07-28,21:27:42,Cliente 139,2023-09-21
user_14,52458184419,cliente14@exemplo.com,2023-11-16,08:44:00,Cliente 14,2023-06-15
user_140,20186766580,cliente140@exemplo.com,2023-05-27,02:40:14,Cliente 140,2023-04-23
user_142,96672797785,cliente142@exemplo.com,2023-01-14,08:42:00,Cliente 142,2023-11-30
user_143,23492888857,cliente143@exemplo.com,2023-05-02,08:03:00,Cliente 143,2023-07-07
user_144,26036900536,cliente144@exemplo.com,2023-12-21,03:19:00,Cliente 144,2023-06-02
user_145,63153591723,cliente145@exemplo.com,2023-05-07,01:57:51,Cliente 145,2023-02-26
user_146,26770528066,cliente146@exemplo.com,2023-05-07,18:48:00,Cliente 146,2023-08-11
user_147,56486393857,cliente147@exemplo.com,2023-01-03,04:15:00,Cliente 147,2023-05-15
user_149,22424195988,cliente149@exemplo.com,2023-09-24,09:10:47,Cliente 149,2023-02-28
user_150,12305828873,cliente150@exemplo.com,2023-05-13,07:46:00,Cliente 150,2023-11-01
user_151,43957658980,cliente151@exemplo.com,2023-02-27,15:34:02,Cliente 151,2023-10-14
user_152,30210761351,cliente152@exemplo.com,2023-06-04,18:52:00,Cliente 152,2023-10-31
user_153,99642467146,cliente153@exemplo.com,2023-02-13,02:29:00,Cliente 153,2023-02-20
user_154,29599798867,cliente154@exemplo.com,2023-09-09,10:19:00,Cliente 154,2023-04-16
user_156,23670890085,cliente156@exemplo.com,2023-08-28,21:14:01,Cliente 156,2023-04-20
user_157,56303563037,cliente157@exemplo.com,2023-11-21,12:48:20,Cliente 157,2023-04-03
user_158,75539052190,cliente158@exemplo.com,2023-05-10,11:06:00,Cliente 158,2023-06-20
user_159,95745120219,cliente159@exemplo.com,2023-04-14,09:24:37,Cliente 159,2023-01-28
user_16,20032183605,cliente16@exemplo.com,2023-10-14,01:57:00,Cliente 16,2023-10-17
user_160,17759451938,cliente160@exemplo.com,2023-10-31,20:54:00,Cliente 160,2023-02-01
user_161,23335009328,cliente161@exemplo.com,2023-12-25,07:43:00,Cliente 161,2023-01-31
user_163,34532762506,cliente163@exemplo.com,2023-03-08,03:39:00,Cliente 163,2023-02-15
user_164,42796804855,cliente164@exemplo.com,2023-12-21,00:40:00,Cliente 164,2023-08-31
user_165,53413889688,cliente165@exemplo.com,2023-11-04,10:59:00,Cliente 165,2023-08-22
user_166,75884514733,cliente166@exemplo.com,2023-04-08,11:18:00,Cliente 166,2023-02-28
user_167,36240910770,cliente167@exemplo.com,2023-12-08,11:23:00,Cliente 167,2023-01-10
user_168,80615616961,cliente168@exemplo.com,2023-05-10,07:02:00,Cliente 168,2023-10-12
user_17,84216843439,cliente17@exemplo.com,2023-05-09,09:16:00,Cliente 17,2023-03-31
user_170,87198454637,cliente170@exemplo.com,2023-10-07,01:11:00,Cliente 170,2023-02-25
user_171,19731056650,cliente171@exemplo.com,2023-10-29,02:46:29,Cliente 171,2023-02-05
user_172,51368827671,cliente172@exemplo.com,2023-01-26,12:27:00,Cliente 172,2023-06-14
user_173,53149759818,cliente173@exemplo.com,2023-09-08,05:30:00,Cliente 173,2023-12-08
user_174,22058179269,cliente174@exemplo.com,2023-02-14,05:49:00,Cliente 174,2023-06-30
user_175,84166287453,cliente175@exemplo.com,2023-09-09,03:58:00,Cliente 175,2023-11-10
user_177,21409519952,cliente177@exemplo.com,2023-01-30,23:04:00,Cliente 177,2023-05-31
user_178,58154870066,cliente178@exemplo.com,2023-10-16,01:07:00,Cliente 178,2023-04-29
user_179,88197254405,cliente179@exemplo.com,2023-04-08,06:31:12,Cliente 179,2023-05-15
user_18,71506240639,cliente18@exemplo.com,2023-10-29,02:10:00,Cliente 18,2023-07-23
user_180,20247200462,cliente180@exemplo.com,2023-12-08,06:16:00,Cliente 180,2023-03-30
user_181,10800392153,cliente181@exemplo.com,2023-06-22,15:57:07,Cliente 181,2023-01-15
user_182,25750040327,cliente182@exemplo.com,2023-08-14,02:34:00,Cliente 182,2023-05-23
user_184,71158445598,cliente184@exemplo.com,2023-05-18,02:13:00,Cliente 184,2023-03-30
user_185,22929309588,cliente185@exemplo.com,2023-12-24,17:20:59,Cliente 185,2023-02-13
user_186,33033086532,cliente186@exemplo.com,2023-09-24,01:31:00,Cliente 186,2023-09-06
user_187,83491225987,cliente187@exemplo.com,2023-10-24,00:07:00,Cliente 187,2023-10-21
user_188,81453968132,cliente188@exemplo.com,2023-01-05,19:37:00,Cliente 188,2023-08-04
user_189,13877644929,cliente189@exemplo.com,2023-11-21,09:25:00,Cliente 189,2023-06-08
user_19,28126903401,cliente19@exemplo.com,2023-09-03,03:41:00,Cliente 19,2023-06-11
user_191,34954663459,cliente191@exemplo.com,2023-07-26,12:36:00,Cliente 191,2023-01-13
user_192,96787375966,cliente192@exemplo.com,2023-04-21,06:15:00,Cliente 192,2023-03-23
user_193,57396207856,cliente193@exemplo.com,2023-09-01,03:25:00,Cliente 193,2023-05-23
user_194,11270723041,cliente194@exemplo.com,2023-12-29,06:54:00,Cliente 194,2023-10-28
user_195,82956454386,cliente195@exemplo.com,2023-07-15,19:51:00,Cliente 195,2023-08-25
user_196,48160459318,cliente196@exemplo.com,2023-12-09,21:49:43,Cliente 196,2023-09-10
user_198,86272327656,cliente198@exemplo.com,2023-11-08,05:31:00,Cliente 198,2023-07-01
user_199,32900262017,cliente199@exemplo.com,2023-06-07,17:29:00,Cliente 199,2023-02-08
user_2,59899648846,cliente2@exemplo.com,2023-02-13,23:16:00,Cliente 2,2023-07-03
user_20,46599081857,cliente20@exemplo.com,2023-03-30,14:20:12,Cliente 20,2023-12-31
user_200,85443952567,cliente200@exemplo.com,2023-09-06,17:38:00,Cliente 200,2023-05-17
user_201,83694349373,cliente201@exemplo.com,2023-10-30,12:34:00,Cliente 201,2023-11-24
user_202,68313293610,cliente202@exemplo.com,2023-04-15,12:21:00,Cliente 202,2023-05-13
user_203,42469574049,cliente203@exemplo.com,2023-02-26,12:45:00,Cliente 203,2023-02-15
