user_id,var_name,var_value
user_1,name,cliente_1!
user_1,e-mail,cliente1exemplo.com
user_1,cpf,73194515393
user_1,entry_date,2023/03/03
user_1,entry_time,11:27
user_1,update_date,27 Apr 2023
user_2,name,Cliente 2
user_2,e-mail,cliente2@exemplo.com
user_2,cpf,59899648846
user_2,entry_date,2023/02/13
user_2,entry_time,23:16
user_2,update_date,2023/07/03
user_3,name,Cliente 3
user_3,e-mail,cliente3@exemplo.com
user_3,cpf,34205381992
user_3,entry_date,02-01-2023
user_3,entry_time,07:21:40
user_3,update_date,2023-04-27
user_4,name,Cliente 4
user_4,e-mail,cliente4@exemplo.com
user_4,cpf,10810137798
user_4,entry_date,01-08-2023
user_4,entry_time,03:47
user_4,update_date,01 Dec 2023
user_5,name,Cliente 5
user_5,e-mail,cliente5@exemplo.com
user_5,cpf,74215374993
user_5,entry_date,25 Feb 2023
user_5,entry_time,22:57:41
user_5,update_date,2023/08/25
user_6,name,Cliente 6
user_6,e-mail,cliente6@exemplo.com
user_6,cpf,77092708481
user_6,entry_date,2023-09-24
user_6,entry_time,10:57 AM
user_6,update_date,2023/10/11
user_7,name,Cliente 7
user_7,e-mail,cliente7@exemplo.com
user_7,cpf,77833190861
user_7,entry_date,28 Feb 2023
user_7,entry_time,03:13:11
user_7,update_date,2023-09-14
user_8,name,Cliente 8
user_8,e-mail,cliente8exemplo.com
user_8,cpf,59258814662
user_8,entry_date,17-08-2023
user_8,entry_time,01:01:23
user_8,update_date,20-07-2023
user_9,name,Cliente 9
user_9,e-mail,cliente9@exemplo.com
user_9,cpf,37827207280
user_9,entry_date,2023-01-29
user_9,entry_time,01:39 PM
user_9,update_date,03-06-2023
user_10,name,Cliente 10
user_10,e-mail,cliente10@exemplo.com
user_10,cpf,89333325563
user_10,entry_date,2023/11/03
user_10,entry_time,03:10 AM
user_10,update_date,23/05/2023
user_11,name,cliente_11!
user_11,e-mail,cliente11@exemplo.com
user_11,cpf,53430934142
user_11,entry_date,2023-03-03
user_11,entry_time,09:25:10
user_11,update_date,31/03/2023
user_12,name,Cliente 12
user_12,e-mail,cliente12@exemplo.com
user_12,cpf,98597629084
user_12,entry_date,09 Apr 2023
user_12,entry_time,05:49 PM
user_12,update_date,2023/05/30
user_13,name,Cliente 13
user_13,e-mail,cliente13@exemplo.com
user_13,cpf,88238511658
user_13,entry_date,2023/05/17
user_13,entry_time,11:24:10
user_13,update_date,27-04-2023
user_14,name,Cliente 14
user_14,e-mail,cliente14@exemplo.com
user_14,cpf,52458184419
user_14,entry_date,16 Nov 2023
user_14,entry_time,08:44 PM
user_14,update_date,15-06-2023
user_15,name,Cliente 15
user_15,e-mail,cliente15exemplo.com
user_15,cpf,62566777416
user_15,entry_date,12 Oct 2023
user_15,entry_time,17:27:32
